,TIME,ENERGY_CONSUMED,DISTANCE,LOAD_WEIGHT,CO2_EMISSIONS,MATERIAL_SUSTAINABILITY,ENV_IMPACT_SCORE,POSITIVE_FEEDBACK,NEGATIVE_FEEDBACK,CURRENT_TRL,TARGET_TRL,ENG_CHALLENGES_RESOLVED,TARGET_ENG_CHALLENGES,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE,ETHICAL_COMPLIANCE,LEGAL_COMPLIANCE,LAND_USAGE_COMPLIANCE,INT_LAW_COMPLIANCE,TRL_COMPLIANCE,MAGLEV_LEVITATION,AMBIENT_INTELLIGENCE,GENERATIVE_AI,AI_MACHINE_LEARNING,DIGITAL_TWINS,FIVE_G,QUANTUM_COMPUTING,AUGMENTED_REALITY,VIRTUAL_REALITY,PRINTING_AT_SCALE,BLOCKCHAIN,SELF_DRIVING_AUTONOMOUS_VEHICLES,TOTAL_DISRUPTIVE_TECH,REVENUE,OPEX,CAPEX,DISCOUNT_RATE,PROJECT_LIFETIME,PRODUCTION_OUTPUT,USER_EXP_RATIO,ACCESSIBILITY_AGEING,DURABILITY,DIGITAL_RELIABILITY,WEATHER_DISASTER_RESILIENCE,POLLUTION_PRODUCED,COMMON_INFRA_FEATURES,CONSTRUCTION_BARRIERS,INTERMODAL_CONNECTIONS,INFRA_ADAPTABILITY_FEATURES,RESOURCE_MILEAGE,PLANNED_VOLUME,ADJUSTMENT_COEF_1,ADJUSTMENT_COEF_2,ADJUSTMENT_COEF_3
10,10,32.98,325.253,15404.04,46.97,0.81,0.77,100.505,199.596,6.202,7.202,8.505,16.697,0.68,0.3,0.9,0.68,0.543,0.773,0.679,0.72,false,false,false,false,true,false,true,true,false,false,true,true,5,350505.051,299494.949,1200000,0.059,480,0.456,0.545,0.599,0.43,0.39,0.805,0.57,0.41,0.58,0.435,0.245,0.345,0.256,0.48,0.48,0.48
11,11,32.778,327.778,15444.444,46.667,0.811,0.772,100.556,198.556,6.222,7.222,8.556,16.667,0.683,0.3,0.9,0.683,0.548,0.776,0.682,0.722,false,true,true,false,false,true,false,false,true,false,false,true,5,350555.556,299444.444,1200000,0.059,480,0.461,0.55,0.603,0.433,0.394,0.806,0.567,0.411,0.578,0.439,0.25,0.35,0.261,0.483,0.483,0.483
12,12,32.576,330.303,15484.848,46.364,0.812,0.774,100.606,197.515,6.242,7.242,8.606,16.636,0.686,0.3,0.9,0.686,0.552,0.778,0.685,0.724,true,true,true,true,true,true,true,true,true,true,false,true,11,350606.061,299393.939,1200000,0.059,480,0.467,0.555,0.607,0.436,0.398,0.806,0.564,0.412,0.576,0.442,0.255,0.355,0.267,0.486,0.486,0.486
13,13,32.374,332.828,15525.253,46.061,0.813,0.776,100.657,196.475,6.263,7.263,8.657,16.606,0.689,0.3,0.9,0.689,0.556,0.78,0.688,0.726,false,true,true,false,true,true,true,true,false,false,true,true,8,350656.566,299343.434,1200000,0.059,480,0.472,0.559,0.611,0.439,0.403,0.807,0.561,0.413,0.574,0.446,0.259,0.359,0.272,0.489,0.489,0.489
14,14,32.172,335.354,15565.657,45.758,0.814,0.778,100.707,195.434,6.283,7.283,8.707,16.576,0.692,0.3,0.9,0.692,0.561,0.783,0.691,0.728,true,false,true,false,false,false,false,false,true,true,true,false,5,350707.071,299292.929,1200000,0.059,480,0.478,0.564,0.615,0.442,0.407,0.807,0.558,0.414,0.572,0.449,0.264,0.364,0.278,0.492,0.492,0.492
15,15,31.97,337.879,15606.061,45.455,0.815,0.78,100.758,194.394,6.303,7.303,8.758,16.545,0.695,0.3,0.9,0.695,0.565,0.785,0.694,0.73,false,true,true,true,false,false,false,true,true,false,false,false,5,350757.576,299242.424,1200000,0.059,480,0.483,0.568,0.619,0.445,0.411,0.808,0.555,0.415,0.57,0.453,0.268,0.368,0.283,0.495,0.495,0.495
16,16,31.768,340.404,15646.465,45.152,0.816,0.782,100.808,193.354,6.323,7.323,8.808,16.515,0.698,0.3,0.9,0.698,0.569,0.787,0.697,0.732,true,false,true,true,true,false,true,false,false,true,true,true,8,350808.081,299191.919,1200000,0.059,480,0.489,0.573,0.623,0.448,0.415,0.808,0.552,0.416,0.568,0.457,0.273,0.373,0.289,0.498,0.498,0.498
17,17,31.566,342.929,15686.869,44.848,0.817,0.784,100.859,192.313,6.343,7.343,8.859,16.485,0.702,0.3,0.9,0.702,0.574,0.789,0.7,0.734,false,true,false,false,true,false,true,false,false,true,true,true,6,350858.586,299141.414,1200000,0.059,480,0.494,0.577,0.627,0.452,0.419,0.809,0.548,0.417,0.566,0.46,0.277,0.377,0.294,0.502,0.502,0.502
18,18,31.364,345.455,15727.273,44.545,0.818,0.786,100.909,191.273,6.364,7.364,8.909,16.455,0.705,0.3,0.9,0.705,0.578,0.792,0.703,0.736,true,true,false,false,true,true,true,false,true,true,true,false,8,350909.091,299090.909,1200000,0.059,480,0.5,0.582,0.631,0.455,0.423,0.809,0.545,0.418,0.564,0.464,0.282,0.382,0.3,0.505,0.505,0.505
19,19,31.162,347.98,15767.677,44.242,0.819,0.788,100.96,190.232,6.384,7.384,8.96,16.424,0.708,0.3,0.9,0.708,0.583,0.794,0.706,0.738,true,true,true,true,false,false,false,true,false,true,true,true,8,350959.596,299040.404,1200000,0.059,480,0.506,0.586,0.635,0.458,0.427,0.81,0.542,0.419,0.562,0.467,0.286,0.386,0.306,0.508,0.508,0.508
20,20,30.96,350.505,15808.081,43.939,0.82,0.79,101.01,189.192,6.404,7.404,9.01,16.394,0.711,0.3,0.9,0.711,0.587,0.796,0.709,0.74,true,true,true,true,true,false,false,false,true,false,true,true,8,351010.101,298989.899,1200000,0.059,480,0.511,0.591,0.639,0.461,0.431,0.81,0.539,0.42,0.56,0.471,0.291,0.391,0.311,0.511,0.511,0.511
21,21,30.758,353.03,15848.485,43.636,0.821,0.792,101.061,188.152,6.424,7.424,9.061,16.364,0.714,0.3,0.9,0.714,0.591,0.799,0.712,0.742,true,false,true,true,true,true,true,true,true,true,true,true,11,351060.606,298939.394,1200000,0.059,480,0.517,0.595,0.643,0.464,0.435,0.811,0.536,0.421,0.558,0.474,0.295,0.395,0.317,0.514,0.514,0.514
22,22,30.556,355.556,15888.889,43.333,0.822,0.794,101.111,187.111,6.444,7.444,9.111,16.333,0.717,0.3,0.9,0.717,0.596,0.801,0.714,0.744,true,true,true,true,true,false,true,false,true,false,true,true,9,351111.111,298888.889,1200000,0.059,480,0.522,0.6,0.647,0.467,0.439,0.811,0.533,0.422,0.556,0.478,0.3,0.4,0.322,0.517,0.517,0.517
23,23,30.354,358.081,15929.293,43.03,0.823,0.796,101.162,186.071,6.465,7.465,9.162,16.303,0.72,0.3,0.9,0.72,0.6,0.803,0.717,0.746,true,false,true,true,true,true,false,true,true,false,true,false,8,351161.616,298838.384,1200000,0.059,480,0.528,0.605,0.651,0.47,0.443,0.812,0.53,0.423,0.554,0.481,0.305,0.405,0.328,0.52,0.52,0.52
24,24,30.152,360.606,15969.697,42.727,0.824,0.798,101.212,185.03,6.485,7.485,9.212,16.273,0.723,0.3,0.9,0.723,0.604,0.806,0.72,0.748,true,false,true,true,true,false,false,false,true,true,true,true,8,351212.121,298787.879,1200000,0.059,480,0.533,0.609,0.655,0.473,0.447,0.812,0.527,0.424,0.552,0.485,0.309,0.409,0.333,0.523,0.523,0.523
25,25,29.949,363.131,16010.101,42.424,0.825,0.801,101.263,183.99,6.505,7.505,9.263,16.242,0.726,0.3,0.9,0.726,0.609,0.808,0.723,0.751,true,true,true,true,true,false,true,true,false,true,true,true,10,351262.626,298737.374,1200000,0.059,480,0.539,0.614,0.658,0.476,0.451,0.813,0.524,0.425,0.549,0.488,0.314,0.414,0.339,0.526,0.526,0.526
26,26,29.747,365.657,16050.505,42.121,0.826,0.803,101.313,182.949,6.525,7.525,9.313,16.212,0.729,0.3,0.9,0.729,0.613,0.81,0.726,0.753,true,true,true,false,false,true,false,true,true,true,true,true,9,351313.131,298686.869,1200000,0.059,480,0.544,0.618,0.662,0.479,0.455,0.813,0.521,0.426,0.547,0.492,0.318,0.418,0.344,0.529,0.529,0.529
27,27,29.545,368.182,16090.909,41.818,0.827,0.805,101.364,181.909,6.545,7.545,9.364,16.182,0.732,0.3,0.9,0.732,0.617,0.813,0.729,0.755,false,false,false,true,true,true,false,false,false,true,false,true,5,351363.636,298636.364,1200000,0.059,480,0.55,0.623,0.666,0.482,0.459,0.814,0.518,0.427,0.545,0.495,0.323,0.423,0.35,0.532,0.532,0.532
28,28,29.343,370.707,16131.313,41.515,0.828,0.807,101.414,180.869,6.566,7.566,9.414,16.152,0.735,0.3,0.9,0.735,0.622,0.815,0.732,0.757,true,false,true,true,true,true,true,true,true,true,true,true,11,351414.141,298585.859,1200000,0.059,480,0.556,0.627,0.67,0.485,0.463,0.814,0.515,0.428,0.543,0.499,0.327,0.427,0.356,0.535,0.535,0.535
29,29,29.141,373.232,16171.717,41.212,0.829,0.809,101.465,179.828,6.586,7.586,9.465,16.121,0.738,0.3,0.9,0.738,0.626,0.817,0.735,0.759,false,false,true,true,true,true,true,false,false,true,false,false,6,351464.646,298535.354,1200000,0.059,480,0.561,0.632,0.674,0.488,0.467,0.815,0.512,0.429,0.541,0.503,0.332,0.432,0.361,0.538,0.538,0.538
30,30,28.939,375.758,16212.121,40.909,0.83,0.811,101.515,178.788,6.606,7.606,9.515,16.091,0.741,0.3,0.9,0.741,0.63,0.82,0.738,0.761,false,true,false,true,false,true,false,false,true,false,true,true,6,351515.152,298484.848,1200000,0.058,480,0.567,0.636,0.678,0.491,0.471,0.815,0.509,0.43,0.539,0.506,0.336,0.436,0.367,0.541,0.541,0.541
31,31,28.737,378.283,16252.525,40.606,0.831,0.813,101.566,177.747,6.626,7.626,9.566,16.061,0.744,0.3,0.9,0.744,0.635,0.822,0.741,0.763,true,false,true,false,true,true,false,false,true,false,false,false,5,351565.657,298434.343,1200000,0.058,480,0.572,0.641,0.682,0.494,0.475,0.816,0.506,0.431,0.537,0.51,0.341,0.441,0.372,0.544,0.544,0.544
32,32,28.535,380.808,16292.929,40.303,0.832,0.815,101.616,176.707,6.646,7.646,9.616,16.03,0.747,0.3,0.9,0.747,0.639,0.824,0.744,0.765,false,true,false,false,true,false,true,false,false,false,true,true,5,351616.162,298383.838,1200000,0.058,480,0.578,0.645,0.686,0.497,0.479,0.816,0.503,0.432,0.535,0.513,0.345,0.445,0.378,0.547,0.547,0.547
33,33,28.333,383.333,16333.333,40,0.833,0.817,101.667,175.667,6.667,7.667,9.667,16,0.75,0.3,0.9,0.75,0.643,0.827,0.747,0.767,false,false,true,true,false,true,true,true,true,true,true,false,8,351666.667,298333.333,1200000,0.058,480,0.583,0.65,0.69,0.5,0.483,0.817,0.5,0.433,0.533,0.517,0.35,0.45,0.383,0.55,0.55,0.55
34,34,28.131,385.859,16373.737,39.697,0.834,0.819,101.717,174.626,6.687,7.687,9.717,15.97,0.753,0.3,0.9,0.753,0.648,0.829,0.75,0.769,false,true,true,true,false,true,false,true,true,false,false,true,7,351717.172,298282.828,1200000,0.058,480,0.589,0.655,0.694,0.503,0.487,0.817,0.497,0.434,0.531,0.52,0.355,0.455,0.389,0.553,0.553,0.553
35,35,27.929,388.384,16414.141,39.394,0.835,0.821,101.768,173.586,6.707,7.707,9.768,15.939,0.756,0.3,0.9,0.756,0.652,0.831,0.753,0.771,false,false,true,false,false,true,true,false,true,false,true,false,5,351767.677,298232.323,1200000,0.058,480,0.594,0.659,0.698,0.506,0.491,0.818,0.494,0.435,0.529,0.524,0.359,0.459,0.394,0.556,0.556,0.556
36,36,27.727,390.909,16454.545,39.091,0.836,0.823,101.818,172.545,6.727,7.727,9.818,15.909,0.759,0.3,0.9,0.759,0.656,0.834,0.755,0.773,false,true,false,true,false,true,false,false,true,true,true,false,6,351818.182,298181.818,1200000,0.058,480,0.6,0.664,0.702,0.509,0.495,0.818,0.491,0.436,0.527,0.527,0.364,0.464,0.4,0.559,0.559,0.559
37,37,27.525,393.434,16494.949,38.788,0.837,0.825,101.869,171.505,6.747,7.747,9.869,15.879,0.762,0.3,0.9,0.762,0.661,0.836,0.758,0.775,false,true,true,true,true,true,true,false,true,true,true,false,9,351868.687,298131.313,1200000,0.058,480,0.606,0.668,0.706,0.512,0.499,0.819,0.488,0.437,0.525,0.531,0.368,0.468,0.406,0.562,0.562,0.562
38,38,27.323,395.96,16535.354,38.485,0.838,0.827,101.919,170.465,6.768,7.768,9.919,15.848,0.765,0.3,0.9,0.765,0.665,0.838,0.761,0.777,true,true,true,true,true,true,false,true,true,true,false,true,10,351919.192,298080.808,1200000,0.058,480,0.611,0.673,0.71,0.515,0.504,0.819,0.485,0.438,0.523,0.534,0.373,0.473,0.411,0.565,0.565,0.565
39,39,27.121,398.485,16575.758,38.182,0.839,0.829,101.97,169.424,6.788,7.788,9.97,15.818,0.768,0.3,0.9,0.768,0.669,0.841,0.764,0.779,false,true,true,true,true,true,true,false,true,false,true,true,9,351969.697,298030.303,1200000,0.058,480,0.617,0.677,0.714,0.518,0.508,0.82,0.482,0.439,0.521,0.538,0.377,0.477,0.417,0.568,0.568,0.568
40,40,26.919,401.01,16616.162,37.879,0.84,0.831,102.02,168.384,6.808,7.808,10.02,15.788,0.771,0.3,0.9,0.771,0.674,0.843,0.767,0.781,true,true,false,true,false,true,true,true,true,true,true,true,10,352020.202,297979.798,1200000,0.058,480,0.622,0.682,0.718,0.521,0.512,0.82,0.479,0.44,0.519,0.541,0.382,0.482,0.422,0.571,0.571,0.571
41,41,26.717,403.535,16656.566,37.576,0.841,0.833,102.071,167.343,6.828,7.828,10.071,15.758,0.774,0.3,0.9,0.774,0.678,0.845,0.77,0.783,true,false,true,false,true,true,true,true,true,false,true,true,9,352070.707,297929.293,1200000,0.058,480,0.628,0.686,0.722,0.524,0.516,0.821,0.476,0.441,0.517,0.545,0.386,0.486,0.428,0.574,0.574,0.574
42,42,26.515,406.061,16696.97,37.273,0.842,0.835,102.121,166.303,6.848,7.848,10.121,15.727,0.777,0.3,0.9,0.777,0.682,0.848,0.773,0.785,true,true,true,true,true,true,false,true,false,true,true,true,10,352121.212,297878.788,1200000,0.058,480,0.633,0.691,0.725,0.527,0.52,0.821,0.473,0.442,0.515,0.548,0.391,0.491,0.433,0.577,0.577,0.577
43,43,26.313,408.586,16737.374,36.97,0.843,0.837,102.172,165.263,6.869,7.869,10.172,15.697,0.78,0.3,0.9,0.78,0.687,0.85,0.776,0.787,true,true,false,true,true,true,true,true,true,true,true,true,11,352171.717,297828.283,1200000,0.058,480,0.639,0.695,0.729,0.53,0.524,0.822,0.47,0.443,0.513,0.552,0.395,0.495,0.439,0.58,0.58,0.58
44,44,26.111,411.111,16777.778,36.667,0.844,0.839,102.222,164.222,6.889,7.889,10.222,15.667,0.783,0.3,0.9,0.783,0.691,0.852,0.779,0.789,true,true,false,true,true,false,false,false,true,true,true,false,7,352222.222,297777.778,1200000,0.058,480,0.644,0.7,0.733,0.533,0.528,0.822,0.467,0.444,0.511,0.556,0.4,0.5,0.444,0.583,0.583,0.583
45,45,25.909,413.636,16818.182,36.364,0.845,0.841,102.273,163.182,6.909,7.909,10.273,15.636,0.786,0.3,0.9,0.786,0.695,0.855,0.782,0.791,true,false,true,false,true,true,true,true,true,false,true,true,9,352272.727,297727.273,1200000,0.058,480,0.65,0.705,0.737,0.536,0.532,0.823,0.464,0.445,0.509,0.559,0.405,0.505,0.45,0.586,0.586,0.586
46,46,25.707,416.162,16858.586,36.061,0.846,0.843,102.323,162.141,6.929,7.929,10.323,15.606,0.789,0.3,0.9,0.789,0.7,0.857,0.785,0.793,false,false,false,true,false,false,false,true,false,true,true,true,5,352323.232,297676.768,1200000,0.058,480,0.656,0.709,0.741,0.539,0.536,0.823,0.461,0.446,0.507,0.563,0.409,0.509,0.456,0.589,0.589,0.589
47,47,25.505,418.687,16898.99,35.758,0.847,0.845,102.374,161.101,6.949,7.949,10.374,15.576,0.792,0.3,0.9,0.792,0.704,0.859,0.788,0.795,false,true,true,true,true,true,true,true,true,true,true,false,10,352373.737,297626.263,1200000,0.058,480,0.661,0.714,0.745,0.542,0.54,0.824,0.458,0.447,0.505,0.566,0.414,0.514,0.461,0.592,0.592,0.592
48,48,25.303,421.212,16939.394,35.455,0.848,0.847,102.424,160.061,6.97,7.97,10.424,15.545,0.795,0.3,0.9,0.795,0.708,0.862,0.791,0.797,true,true,true,false,false,false,false,false,false,true,false,true,5,352424.242,297575.758,1200000,0.058,480,0.667,0.718,0.749,0.545,0.544,0.824,0.455,0.448,0.503,0.57,0.418,0.518,0.467,0.595,0.595,0.595
49,49,25.101,423.737,16979.798,35.152,0.849,0.849,102.475,159.02,6.99,7.99,10.475,15.515,0.798,0.3,0.9,0.798,0.713,0.864,0.794,0.799,true,true,false,true,true,true,true,false,false,true,true,true,9,352474.747,297525.253,1200000,0.058,480,0.672,0.723,0.753,0.548,0.548,0.825,0.452,0.449,0.501,0.573,0.423,0.523,0.472,0.598,0.598,0.598
50,50,24.899,426.263,17020.202,34.848,0.851,0.851,102.525,157.98,7.01,8.01,10.525,15.485,0.802,0.3,0.9,0.802,0.717,0.866,0.796,0.801,false,true,false,false,false,false,true,true,true,false,true,false,5,352525.253,297474.747,1200000,0.057,480,0.678,0.727,0.757,0.552,0.552,0.825,0.448,0.451,0.499,0.577,0.427,0.527,0.478,0.602,0.602,0.602
51,51,24.697,428.788,17060.606,34.545,0.852,0.853,102.576,156.939,7.03,8.03,10.576,15.455,0.805,0.3,0.9,0.805,0.722,0.868,0.799,0.803,true,true,true,true,true,true,true,false,false,true,true,false,9,352575.758,297424.242,1200000,0.057,480,0.683,0.732,0.761,0.555,0.556,0.826,0.445,0.452,0.497,0.58,0.432,0.532,0.483,0.605,0.605,0.605
52,52,24.495,431.313,17101.01,34.242,0.853,0.855,102.626,155.899,7.051,8.051,10.626,15.424,0.808,0.3,0.9,0.808,0.726,0.871,0.802,0.805,false,false,true,true,false,false,true,true,false,false,true,false,5,352626.263,297373.737,1200000,0.057,480,0.689,0.736,0.765,0.558,0.56,0.826,0.442,0.453,0.495,0.584,0.436,0.536,0.489,0.608,0.608,0.608
53,53,24.293,433.838,17141.414,33.939,0.854,0.857,102.677,154.859,7.071,8.071,10.677,15.394,0.811,0.3,0.9,0.811,0.73,0.873,0.805,0.807,true,true,false,true,true,false,true,true,true,true,true,true,10,352676.768,297323.232,1200000,0.057,480,0.694,0.741,0.769,0.561,0.564,0.827,0.439,0.454,0.493,0.587,0.441,0.541,0.494,0.611,0.611,0.611
54,54,24.091,436.364,17181.818,33.636,0.855,0.859,102.727,153.818,7.091,8.091,10.727,15.364,0.814,0.3,0.9,0.814,0.735,0.875,0.808,0.809,true,true,false,true,true,true,true,true,true,true,true,true,11,352727.273,297272.727,1200000,0.057,480,0.7,0.745,0.773,0.564,0.568,0.827,0.436,0.455,0.491,0.591,0.445,0.545,0.5,0.614,0.614,0.614
55,55,23.889,438.889,17222.222,33.333,0.856,0.861,102.778,152.778,7.111,8.111,10.778,15.333,0.817,0.3,0.9,0.817,0.739,0.878,0.811,0.811,false,true,false,true,false,true,false,false,false,false,true,true,5,352777.778,297222.222,1200000,0.057,480,0.706,0.75,0.777,0.567,0.572,0.828,0.433,0.456,0.489,0.594,0.45,0.55,0.506,0.617,0.617,0.617
56,56,23.687,441.414,17262.626,33.03,0.857,0.863,102.828,151.737,7.131,8.131,10.828,15.303,0.82,0.3,0.9,0.82,0.743,0.88,0.814,0.813,false,true,false,true,true,false,true,true,true,true,true,true,9,352828.283,297171.717,1200000,0.057,480,0.711,0.755,0.781,0.57,0.576,0.828,0.43,0.457,0.487,0.598,0.455,0.555,0.511,0.62,0.62,0.62
57,57,23.485,443.939,17303.03,32.727,0.858,0.865,102.879,150.697,7.152,8.152,10.879,15.273,0.823,0.3,0.9,0.823,0.748,0.882,0.817,0.815,true,true,true,true,true,true,false,true,false,false,true,false,8,352878.788,297121.212,1200000,0.057,480,0.717,0.759,0.785,0.573,0.58,0.829,0.427,0.458,0.485,0.602,0.459,0.559,0.517,0.623,0.623,0.623
58,58,23.283,446.465,17343.434,32.424,0.859,0.867,102.929,149.657,7.172,8.172,10.929,15.242,0.826,0.3,0.9,0.826,0.752,0.885,0.82,0.817,true,true,false,true,false,true,true,false,true,true,true,true,9,352929.293,297070.707,1200000,0.057,480,0.722,0.764,0.788,0.576,0.584,0.829,0.424,0.459,0.483,0.605,0.464,0.564,0.522,0.626,0.626,0.626
59,59,23.081,448.99,17383.838,32.121,0.86,0.869,102.98,148.616,7.192,8.192,10.98,15.212,0.829,0.3,0.9,0.829,0.756,0.887,0.823,0.819,true,false,false,false,true,true,true,true,false,true,false,true,7,352979.798,297020.202,1200000,0.057,480,0.728,0.768,0.792,0.579,0.588,0.83,0.421,0.46,0.481,0.609,0.468,0.568,0.528,0.629,0.629,0.629
60,60,22.879,451.515,17424.242,31.818,0.861,0.871,103.03,147.576,7.212,8.212,11.03,15.182,0.832,0.3,0.9,0.832,0.761,0.889,0.826,0.821,false,true,true,true,true,false,false,true,true,false,true,true,8,353030.303,296969.697,1200000,0.057,480,0.733,0.773,0.796,0.582,0.592,0.83,0.418,0.461,0.479,0.612,0.473,0.573,0.533,0.632,0.632,0.632
61,61,22.677,454.04,17464.646,31.515,0.862,0.873,103.081,146.535,7.232,8.232,11.081,15.152,0.835,0.3,0.9,0.835,0.765,0.892,0.829,0.823,false,true,false,true,true,true,false,false,true,true,true,false,7,353080.808,296919.192,1200000,0.057,480,0.739,0.777,0.8,0.585,0.596,0.831,0.415,0.462,0.477,0.616,0.477,0.577,0.539,0.635,0.635,0.635
62,62,22.475,456.566,17505.051,31.212,0.863,0.875,103.131,145.495,7.253,8.253,11.131,15.121,0.838,0.3,0.9,0.838,0.769,0.894,0.832,0.825,true,true,false,true,true,true,true,true,true,true,true,false,10,353131.313,296868.687,1200000,0.057,480,0.744,0.782,0.804,0.588,0.601,0.831,0.412,0.463,0.475,0.619,0.482,0.582,0.544,0.638,0.638,0.638
63,63,22.273,459.091,17545.455,30.909,0.864,0.877,103.182,144.455,7.273,8.273,11.182,15.091,0.841,0.3,0.9,0.841,0.774,0.896,0.835,0.827,false,true,true,true,false,true,true,true,false,false,true,true,8,353181.818,296818.182,1200000,0.057,480,0.75,0.786,0.808,0.591,0.605,0.832,0.409,0.464,0.473,0.623,0.486,0.586,0.55,0.641,0.641,0.641
