,TIME,ENERGY_CONSUMED,DISTANCE,LOAD_WEIGHT,CO2_EMISSIONS,MATERIAL_SUSTAINABILITY,ENV_IMPACT_SCORE,POSITIVE_FEEDBACK,NEGATIVE_FEEDBACK,CURRENT_TRL,TARGET_TRL,ENG_CHALLENGES_RESOLVED,TARGET_ENG_CHALLENGES,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE,ETHICAL_COMPLIANCE,LEGAL_COMPLIANCE,LAND_USAGE_COMPLIANCE,INT_LAW_COMPLIANCE,TRL_COMPLIANCE,MAGLEV_LEVITATION,AMBIENT_INTELLIGENCE,GENERATIVE_AI,AI_MACHINE_LEARNING,DIGITAL_TWINS,FIVE_G,QUANTUM_COMPUTING,AUGMENTED_REALITY,VIRTUAL_REALITY,PRINTING_AT_SCALE,BLOCKCHAIN,SELF_DRIVING_AUTONOMOUS_VEHICLES,TOTAL_DISRUPTIVE_TECH,REVENUE,OPEX,CAPEX,DISCOUNT_RATE,PROJECT_LIFETIME,PRODUCTION_OUTPUT,USER_EXP_RATIO,ACCESSIBILITY_AGEING,DURABILITY,DIGITAL_RELIABILITY,WEATHER_DISASTER_RESILIENCE,POLLUTION_PRODUCED,COMMON_INFRA_FEATURES,CONSTRUCTION_BARRIERS,INTERMODAL_CONNECTIONS,INFRA_ADAPTABILITY_FEATURES,RESOURCE_MILEAGE,PLANNED_VOLUME,ADJUSTMENT_COEF_1,ADJUSTMENT_COEF_2,ADJUSTMENT_COEF_3
10,10,101.01,1005.051,8545.455,479.798,0.815,0.842,137.02,88.485,8.051,8.53,9.101,12.899,0.56,0.3,0.9,0.655,0.555,0.704,0.605,0.624,true,true,true,true,false,true,false,false,true,true,true,true,9,40030.303,29969.697,225000,0.07,700,0.71,0.825,0.61,0.905,0.805,0.614,0.545,0.31,0.54,0.711,0.815,0.782,0.795,0.745,0.702,0.605
11,11,101.111,1005.556,8550,477.778,0.816,0.843,137.222,88.333,8.056,8.533,9.111,12.889,0.561,0.3,0.9,0.656,0.556,0.704,0.606,0.624,true,true,false,true,true,true,true,true,true,false,true,true,10,40033.333,29966.667,225000,0.07,700,0.711,0.826,0.611,0.906,0.806,0.613,0.544,0.311,0.539,0.711,0.817,0.782,0.794,0.744,0.702,0.606
12,12,101.212,1006.061,8554.545,475.758,0.816,0.845,137.424,88.182,8.061,8.536,9.121,12.879,0.562,0.3,0.9,0.656,0.556,0.705,0.606,0.625,true,true,true,true,true,false,true,false,true,true,true,true,10,40036.364,29963.636,225000,0.07,700,0.712,0.826,0.612,0.906,0.806,0.613,0.544,0.312,0.538,0.711,0.818,0.782,0.794,0.744,0.702,0.606
13,13,101.313,1006.566,8559.091,473.737,0.817,0.846,137.626,88.03,8.066,8.539,9.131,12.869,0.563,0.3,0.9,0.657,0.557,0.705,0.607,0.625,true,true,false,false,true,true,true,false,true,true,true,true,9,40039.394,29960.606,225000,0.07,700,0.713,0.827,0.613,0.907,0.807,0.612,0.543,0.313,0.537,0.711,0.82,0.783,0.793,0.743,0.703,0.607
14,14,101.414,1007.071,8563.636,471.717,0.817,0.847,137.828,87.879,8.071,8.542,9.141,12.859,0.564,0.3,0.9,0.657,0.557,0.706,0.607,0.626,true,true,true,true,false,false,true,false,true,true,true,true,9,40042.424,29957.576,225000,0.07,700,0.714,0.827,0.614,0.907,0.807,0.612,0.543,0.314,0.536,0.711,0.821,0.783,0.793,0.743,0.703,0.607
15,15,101.515,1007.576,8568.182,469.697,0.818,0.848,138.03,87.727,8.076,8.545,9.152,12.848,0.565,0.3,0.9,0.658,0.558,0.706,0.608,0.626,true,false,true,true,true,true,true,true,true,false,true,false,9,40045.455,29954.545,225000,0.07,700,0.715,0.828,0.615,0.908,0.808,0.611,0.542,0.315,0.535,0.712,0.823,0.783,0.792,0.742,0.703,0.608
16,16,101.616,1008.081,8572.727,467.677,0.818,0.849,138.232,87.576,8.081,8.548,9.162,12.838,0.566,0.3,0.9,0.658,0.558,0.706,0.608,0.626,false,true,true,true,false,true,true,true,true,false,true,true,9,40048.485,29951.515,225000,0.07,700,0.716,0.828,0.616,0.908,0.808,0.61,0.542,0.316,0.534,0.712,0.824,0.783,0.792,0.742,0.703,0.608
17,17,101.717,1008.586,8577.273,465.657,0.819,0.851,138.434,87.424,8.086,8.552,9.172,12.828,0.567,0.3,0.9,0.659,0.559,0.707,0.609,0.627,true,true,false,true,true,true,true,true,false,true,true,false,9,40051.515,29948.485,225000,0.07,700,0.717,0.829,0.617,0.909,0.809,0.61,0.541,0.317,0.533,0.712,0.826,0.783,0.791,0.741,0.703,0.609
18,18,101.818,1009.091,8581.818,463.636,0.819,0.852,138.636,87.273,8.091,8.555,9.182,12.818,0.568,0.3,0.9,0.659,0.559,0.707,0.609,0.627,true,true,true,true,false,true,true,true,true,true,false,true,10,40054.545,29945.455,225000,0.07,700,0.718,0.829,0.618,0.909,0.809,0.609,0.541,0.318,0.532,0.712,0.827,0.784,0.791,0.741,0.704,0.609
19,19,101.919,1009.596,8586.364,461.616,0.82,0.853,138.838,87.121,8.096,8.558,9.192,12.808,0.569,0.3,0.9,0.66,0.56,0.708,0.61,0.628,true,false,true,true,true,true,true,true,true,true,true,false,10,40057.576,29942.424,225000,0.07,700,0.719,0.83,0.619,0.91,0.81,0.608,0.54,0.319,0.531,0.712,0.829,0.784,0.79,0.74,0.704,0.61
20,20,102.02,1010.101,8590.909,459.596,0.82,0.854,139.04,86.97,8.101,8.561,9.202,12.798,0.57,0.3,0.9,0.66,0.56,0.708,0.61,0.628,true,true,true,true,true,true,true,true,false,false,true,false,9,40060.606,29939.394,225000,0.07,700,0.72,0.83,0.62,0.91,0.81,0.608,0.54,0.32,0.53,0.712,0.83,0.784,0.79,0.74,0.704,0.61
21,21,102.121,1010.606,8595.455,457.576,0.821,0.855,139.242,86.818,8.106,8.564,9.212,12.788,0.571,0.3,0.9,0.661,0.561,0.708,0.611,0.628,true,true,true,true,true,true,true,true,true,false,true,false,10,40063.636,29936.364,225000,0.07,700,0.721,0.831,0.621,0.911,0.811,0.607,0.539,0.321,0.529,0.712,0.832,0.784,0.789,0.739,0.704,0.611
22,22,102.222,1011.111,8600,455.556,0.821,0.857,139.444,86.667,8.111,8.567,9.222,12.778,0.572,0.3,0.9,0.661,0.561,0.709,0.611,0.629,true,false,true,true,true,true,true,false,true,true,true,false,9,40066.667,29933.333,225000,0.07,700,0.722,0.831,0.622,0.911,0.811,0.607,0.539,0.322,0.528,0.712,0.833,0.784,0.789,0.739,0.704,0.611
23,23,102.323,1011.616,8604.545,453.535,0.822,0.858,139.646,86.515,8.116,8.57,9.232,12.768,0.573,0.3,0.9,0.662,0.562,0.709,0.612,0.629,true,true,false,true,true,true,true,true,true,true,false,false,9,40069.697,29930.303,225000,0.07,700,0.723,0.832,0.623,0.912,0.812,0.606,0.538,0.323,0.527,0.712,0.835,0.785,0.788,0.738,0.705,0.612
24,24,102.424,1012.121,8609.091,451.515,0.822,0.859,139.848,86.364,8.121,8.573,9.242,12.758,0.574,0.3,0.9,0.662,0.562,0.71,0.612,0.63,true,false,true,true,true,true,true,false,true,false,true,true,9,40072.727,29927.273,225000,0.07,700,0.724,0.832,0.624,0.912,0.812,0.605,0.538,0.324,0.526,0.712,0.836,0.785,0.788,0.738,0.705,0.612
25,25,102.525,1012.626,8613.636,449.495,0.823,0.86,140.051,86.212,8.126,8.576,9.253,12.747,0.575,0.3,0.9,0.663,0.563,0.71,0.613,0.63,false,false,true,true,false,true,true,true,true,true,true,true,9,40075.758,29924.242,225000,0.069,700,0.725,0.833,0.625,0.913,0.813,0.605,0.537,0.325,0.525,0.713,0.838,0.785,0.787,0.737,0.705,0.613
26,26,102.626,1013.131,8618.182,447.475,0.823,0.862,140.253,86.061,8.131,8.579,9.263,12.737,0.576,0.3,0.9,0.663,0.563,0.711,0.613,0.631,true,true,true,false,true,true,false,true,true,true,true,true,10,40078.788,29921.212,225000,0.069,700,0.726,0.833,0.626,0.913,0.813,0.604,0.537,0.326,0.524,0.713,0.839,0.785,0.787,0.737,0.705,0.613
27,27,102.727,1013.636,8622.727,445.455,0.824,0.863,140.455,85.909,8.136,8.582,9.273,12.727,0.577,0.3,0.9,0.664,0.564,0.711,0.614,0.631,true,true,true,true,true,false,true,true,false,true,true,false,9,40081.818,29918.182,225000,0.069,700,0.727,0.834,0.627,0.914,0.814,0.604,0.536,0.327,0.523,0.713,0.841,0.785,0.786,0.736,0.705,0.614
28,28,102.828,1014.141,8627.273,443.434,0.824,0.864,140.657,85.758,8.141,8.585,9.283,12.717,0.578,0.3,0.9,0.664,0.564,0.711,0.614,0.631,false,true,true,true,false,true,true,true,true,false,true,true,9,40084.848,29915.152,225000,0.069,700,0.728,0.834,0.628,0.914,0.814,0.603,0.536,0.328,0.522,0.713,0.842,0.786,0.786,0.736,0.706,0.614
29,29,102.929,1014.646,8631.818,441.414,0.825,0.865,140.859,85.606,8.146,8.588,9.293,12.707,0.579,0.3,0.9,0.665,0.565,0.712,0.615,0.632,true,false,true,false,false,true,true,true,true,true,true,true,9,40087.879,29912.121,225000,0.069,700,0.729,0.835,0.629,0.915,0.815,0.602,0.535,0.329,0.521,0.713,0.844,0.786,0.785,0.735,0.706,0.615
30,30,103.03,1015.152,8636.364,439.394,0.825,0.866,141.061,85.455,8.152,8.591,9.303,12.697,0.58,0.3,0.9,0.665,0.565,0.712,0.615,0.632,true,true,true,false,true,true,false,true,true,true,false,true,9,40090.909,29909.091,225000,0.069,700,0.73,0.835,0.63,0.915,0.815,0.602,0.535,0.33,0.52,0.713,0.845,0.786,0.785,0.735,0.706,0.615
31,31,103.131,1015.657,8640.909,437.374,0.826,0.868,141.263,85.303,8.157,8.594,9.313,12.687,0.581,0.3,0.9,0.666,0.566,0.713,0.616,0.633,true,false,true,true,false,true,true,true,false,true,true,true,9,40093.939,29906.061,225000,0.069,700,0.731,0.836,0.631,0.916,0.816,0.601,0.534,0.331,0.519,0.713,0.847,0.786,0.784,0.734,0.706,0.616
32,32,103.232,1016.162,8645.455,435.354,0.826,0.869,141.465,85.152,8.162,8.597,9.323,12.677,0.582,0.3,0.9,0.666,0.566,0.713,0.616,0.633,true,true,true,true,true,true,true,true,true,false,false,true,10,40096.97,29903.03,225000,0.069,700,0.732,0.836,0.632,0.916,0.816,0.601,0.534,0.332,0.518,0.713,0.848,0.786,0.784,0.734,0.706,0.616
33,33,103.333,1016.667,8650,433.333,0.827,0.87,141.667,85,8.167,8.6,9.333,12.667,0.583,0.3,0.9,0.667,0.567,0.713,0.617,0.633,true,true,true,true,true,true,true,true,true,false,true,false,10,40100,29900,225000,0.069,700,0.733,0.837,0.633,0.917,0.817,0.6,0.533,0.333,0.517,0.713,0.85,0.787,0.783,0.733,0.707,0.617
34,34,103.434,1017.172,8654.545,431.313,0.827,0.871,141.869,84.848,8.172,8.603,9.343,12.657,0.584,0.3,0.9,0.667,0.567,0.714,0.617,0.634,true,false,true,false,true,true,true,true,true,true,true,false,9,40103.03,29896.97,225000,0.069,700,0.734,0.837,0.634,0.917,0.817,0.599,0.533,0.334,0.516,0.713,0.852,0.787,0.783,0.733,0.707,0.617
35,35,103.535,1017.677,8659.091,429.293,0.828,0.872,142.071,84.697,8.177,8.606,9.354,12.646,0.585,0.3,0.9,0.668,0.568,0.714,0.618,0.634,true,true,true,false,true,true,true,true,true,true,false,false,9,40106.061,29893.939,225000,0.069,700,0.735,0.838,0.635,0.918,0.818,0.599,0.532,0.335,0.515,0.714,0.853,0.787,0.782,0.732,0.707,0.618
36,36,103.636,1018.182,8663.636,427.273,0.828,0.874,142.273,84.545,8.182,8.609,9.364,12.636,0.586,0.3,0.9,0.668,0.568,0.715,0.618,0.635,true,true,true,true,true,true,true,false,true,true,false,true,10,40109.091,29890.909,225000,0.069,700,0.736,0.838,0.636,0.918,0.818,0.598,0.532,0.336,0.514,0.714,0.855,0.787,0.782,0.732,0.707,0.618
37,37,103.737,1018.687,8668.182,425.253,0.829,0.875,142.475,84.394,8.187,8.612,9.374,12.626,0.587,0.3,0.9,0.669,0.569,0.715,0.619,0.635,true,false,true,true,true,true,true,true,true,false,true,true,10,40112.121,29887.879,225000,0.069,700,0.737,0.839,0.637,0.919,0.819,0.598,0.531,0.337,0.513,0.714,0.856,0.787,0.781,0.731,0.707,0.619
38,38,103.838,1019.192,8672.727,423.232,0.829,0.876,142.677,84.242,8.192,8.615,9.384,12.616,0.588,0.3,0.9,0.669,0.569,0.715,0.619,0.635,true,true,true,false,true,false,true,true,true,true,true,true,10,40115.152,29884.848,225000,0.069,700,0.738,0.839,0.638,0.919,0.819,0.597,0.531,0.338,0.512,0.714,0.858,0.788,0.781,0.731,0.708,0.619
39,39,103.939,1019.697,8677.273,421.212,0.83,0.877,142.879,84.091,8.197,8.618,9.394,12.606,0.589,0.3,0.9,0.67,0.57,0.716,0.62,0.636,true,true,true,false,true,false,true,true,true,true,true,true,10,40118.182,29881.818,225000,0.069,700,0.739,0.84,0.639,0.92,0.82,0.596,0.53,0.339,0.511,0.714,0.859,0.788,0.78,0.73,0.708,0.62
40,40,104.04,1020.202,8681.818,419.192,0.83,0.878,143.081,83.939,8.202,8.621,9.404,12.596,0.59,0.3,0.9,0.67,0.57,0.716,0.62,0.636,true,true,true,true,true,false,true,true,true,true,true,false,10,40121.212,29878.788,225000,0.069,700,0.74,0.84,0.64,0.92,0.82,0.596,0.53,0.34,0.51,0.714,0.861,0.788,0.78,0.73,0.708,0.62
41,41,104.141,1020.707,8686.364,417.172,0.831,0.88,143.283,83.788,8.207,8.624,9.414,12.586,0.591,0.3,0.9,0.671,0.571,0.717,0.621,0.637,true,true,true,true,true,true,true,true,true,true,false,false,10,40124.242,29875.758,225000,0.069,700,0.741,0.841,0.641,0.921,0.821,0.595,0.529,0.341,0.509,0.714,0.862,0.788,0.779,0.729,0.708,0.621
42,42,104.242,1021.212,8690.909,415.152,0.831,0.881,143.485,83.636,8.212,8.627,9.424,12.576,0.592,0.3,0.9,0.671,0.571,0.717,0.621,0.637,true,true,false,true,false,true,true,true,true,true,true,true,10,40127.273,29872.727,225000,0.069,700,0.742,0.841,0.642,0.921,0.821,0.595,0.529,0.342,0.508,0.714,0.864,0.788,0.779,0.729,0.708,0.621
43,43,104.343,1021.717,8695.455,413.131,0.832,0.882,143.687,83.485,8.217,8.63,9.434,12.566,0.593,0.3,0.9,0.672,0.572,0.717,0.622,0.637,true,true,false,false,true,false,true,true,true,true,true,true,9,40130.303,29869.697,225000,0.069,700,0.743,0.842,0.643,0.922,0.822,0.594,0.528,0.343,0.507,0.714,0.865,0.789,0.778,0.728,0.709,0.622
44,44,104.444,1022.222,8700,411.111,0.832,0.883,143.889,83.333,8.222,8.633,9.444,12.556,0.594,0.3,0.9,0.672,0.572,0.718,0.622,0.638,true,false,true,true,false,true,true,true,true,true,true,true,10,40133.333,29866.667,225000,0.069,700,0.744,0.842,0.644,0.922,0.822,0.593,0.528,0.344,0.506,0.714,0.867,0.789,0.778,0.728,0.709,0.622
45,45,104.545,1022.727,8704.545,409.091,0.833,0.885,144.091,83.182,8.227,8.636,9.455,12.545,0.595,0.3,0.9,0.673,0.573,0.718,0.623,0.638,false,false,true,true,true,true,true,true,false,true,true,true,9,40136.364,29863.636,225000,0.069,700,0.745,0.843,0.645,0.923,0.823,0.593,0.527,0.345,0.505,0.715,0.868,0.789,0.777,0.727,0.709,0.623
46,46,104.646,1023.232,8709.091,407.071,0.833,0.886,144.293,83.03,8.232,8.639,9.465,12.535,0.596,0.3,0.9,0.673,0.573,0.719,0.623,0.639,true,true,false,true,true,true,true,true,true,false,false,true,9,40139.394,29860.606,225000,0.069,700,0.746,0.843,0.646,0.923,0.823,0.592,0.527,0.346,0.504,0.715,0.87,0.789,0.777,0.727,0.709,0.623
47,47,104.747,1023.737,8713.636,405.051,0.834,0.887,144.495,82.879,8.237,8.642,9.475,12.525,0.597,0.3,0.9,0.674,0.574,0.719,0.624,0.639,true,true,true,true,true,false,true,true,false,true,true,false,9,40142.424,29857.576,225000,0.069,700,0.747,0.844,0.647,0.924,0.824,0.592,0.526,0.347,0.503,0.715,0.871,0.789,0.776,0.726,0.709,0.624
48,48,104.848,1024.242,8718.182,403.03,0.834,0.888,144.697,82.727,8.242,8.645,9.485,12.515,0.598,0.3,0.9,0.674,0.574,0.719,0.624,0.639,true,true,true,true,true,true,false,true,true,true,true,false,10,40145.455,29854.545,225000,0.069,700,0.748,0.844,0.648,0.924,0.824,0.591,0.526,0.348,0.502,0.715,0.873,0.79,0.776,0.726,0.71,0.624
49,49,104.949,1024.747,8722.727,401.01,0.835,0.889,144.899,82.576,8.247,8.648,9.495,12.505,0.599,0.3,0.9,0.675,0.575,0.72,0.625,0.64,false,true,true,true,true,true,true,true,true,true,true,false,10,40148.485,29851.515,225000,0.069,700,0.749,0.845,0.649,0.925,0.825,0.59,0.525,0.349,0.501,0.715,0.874,0.79,0.775,0.725,0.71,0.625
50,50,105.051,1025.253,8727.273,398.99,0.835,0.891,145.101,82.424,8.253,8.652,9.505,12.495,0.601,0.3,0.9,0.675,0.575,0.72,0.625,0.64,true,false,false,true,true,true,true,true,true,true,true,true,10,40151.515,29848.485,225000,0.069,700,0.751,0.845,0.651,0.925,0.825,0.59,0.525,0.351,0.499,0.715,0.876,0.79,0.775,0.725,0.71,0.625
51,51,105.152,1025.758,8731.818,396.97,0.836,0.892,145.303,82.273,8.258,8.655,9.515,12.485,0.602,0.3,0.9,0.676,0.576,0.721,0.626,0.641,true,true,true,true,true,false,true,true,false,true,true,false,9,40154.545,29845.455,225000,0.069,700,0.752,0.846,0.652,0.926,0.826,0.589,0.524,0.352,0.498,0.715,0.877,0.79,0.774,0.724,0.71,0.626
52,52,105.253,1026.263,8736.364,394.949,0.836,0.893,145.505,82.121,8.263,8.658,9.525,12.475,0.603,0.3,0.9,0.676,0.576,0.721,0.626,0.641,true,false,true,true,true,true,true,false,true,false,true,true,9,40157.576,29842.424,225000,0.069,700,0.753,0.846,0.653,0.926,0.826,0.588,0.524,0.353,0.497,0.715,0.879,0.791,0.774,0.724,0.711,0.626
53,53,105.354,1026.768,8740.909,392.929,0.837,0.894,145.707,81.97,8.268,8.661,9.535,12.465,0.604,0.3,0.9,0.677,0.577,0.721,0.627,0.641,false,true,true,true,true,true,true,true,true,false,true,true,10,40160.606,29839.394,225000,0.069,700,0.754,0.847,0.654,0.927,0.827,0.588,0.523,0.354,0.496,0.715,0.88,0.791,0.773,0.723,0.711,0.627
54,54,105.455,1027.273,8745.455,390.909,0.837,0.895,145.909,81.818,8.273,8.664,9.545,12.455,0.605,0.3,0.9,0.677,0.577,0.722,0.627,0.642,true,true,true,true,true,true,true,true,true,false,true,false,10,40163.636,29836.364,225000,0.069,700,0.755,0.847,0.655,0.927,0.827,0.587,0.523,0.355,0.495,0.715,0.882,0.791,0.773,0.723,0.711,0.627
55,55,105.556,1027.778,8750,388.889,0.838,0.897,146.111,81.667,8.278,8.667,9.556,12.444,0.606,0.3,0.9,0.678,0.578,0.722,0.628,0.642,true,false,true,true,true,true,false,true,true,true,false,true,9,40166.667,29833.333,225000,0.069,700,0.756,0.848,0.656,0.928,0.828,0.587,0.522,0.356,0.494,0.716,0.883,0.791,0.772,0.722,0.711,0.628
56,56,105.657,1028.283,8754.545,386.869,0.838,0.898,146.313,81.515,8.283,8.67,9.566,12.434,0.607,0.3,0.9,0.678,0.578,0.723,0.628,0.643,false,true,true,false,true,true,true,true,true,true,false,true,9,40169.697,29830.303,225000,0.069,700,0.757,0.848,0.657,0.928,0.828,0.586,0.522,0.357,0.493,0.716,0.885,0.791,0.772,0.722,0.711,0.628
57,57,105.758,1028.788,8759.091,384.848,0.839,0.899,146.515,81.364,8.288,8.673,9.576,12.424,0.608,0.3,0.9,0.679,0.579,0.723,0.629,0.643,true,true,true,true,false,true,true,true,false,true,false,true,9,40172.727,29827.273,225000,0.069,700,0.758,0.849,0.658,0.929,0.829,0.585,0.521,0.358,0.492,0.716,0.886,0.792,0.771,0.721,0.712,0.629
58,58,105.859,1029.293,8763.636,382.828,0.839,0.9,146.717,81.212,8.293,8.676,9.586,12.414,0.609,0.3,0.9,0.679,0.579,0.723,0.629,0.643,true,true,false,true,false,true,false,true,true,true,true,true,9,40175.758,29824.242,225000,0.069,700,0.759,0.849,0.659,0.929,0.829,0.585,0.521,0.359,0.491,0.716,0.888,0.792,0.771,0.721,0.712,0.629
59,59,105.96,1029.798,8768.182,380.808,0.84,0.902,146.919,81.061,8.298,8.679,9.596,12.404,0.61,0.3,0.9,0.68,0.58,0.724,0.63,0.644,false,true,true,false,true,true,false,true,true,true,true,true,9,40178.788,29821.212,225000,0.069,700,0.76,0.85,0.66,0.93,0.83,0.584,0.52,0.36,0.49,0.716,0.889,0.792,0.77,0.72,0.712,0.63
60,60,106.061,1030.303,8772.727,378.788,0.84,0.903,147.121,80.909,8.303,8.682,9.606,12.394,0.611,0.3,0.9,0.68,0.58,0.724,0.63,0.644,true,true,false,true,true,true,false,true,true,true,false,true,9,40181.818,29818.182,225000,0.069,700,0.761,0.85,0.661,0.93,0.83,0.584,0.52,0.361,0.489,0.716,0.891,0.792,0.77,0.72,0.712,0.63
61,61,106.162,1030.808,8777.273,376.768,0.841,0.904,147.323,80.758,8.308,8.685,9.616,12.384,0.612,0.3,0.9,0.681,0.581,0.725,0.631,0.645,false,true,true,true,true,true,false,true,true,false,true,true,9,40184.848,29815.152,225000,0.069,700,0.762,0.851,0.662,0.931,0.831,0.583,0.519,0.362,0.488,0.716,0.892,0.792,0.769,0.719,0.712,0.631
62,62,106.263,1031.313,8781.818,374.747,0.841,0.905,147.525,80.606,8.313,8.688,9.626,12.374,0.613,0.3,0.9,0.681,0.581,0.725,0.631,0.645,true,true,true,true,true,true,true,false,true,true,true,false,10,40187.879,29812.121,225000,0.069,700,0.763,0.851,0.663,0.931,0.831,0.582,0.519,0.363,0.487,0.716,0.894,0.793,0.769,0.719,0.713,0.631
63,63,106.364,1031.818,8786.364,372.727,0.842,0.906,147.727,80.455,8.318,8.691,9.636,12.364,0.614,0.3,0.9,0.682,0.582,0.725,0.632,0.645,true,true,true,true,true,false,true,true,true,false,true,true,10,40190.909,29809.091,225000,0.069,700,0.764,0.852,0.664,0.932,0.832,0.582,0.518,0.364,0.486,0.716,0.895,0.793,0.768,0.718,0.713,0.632
