Time,Common_Infrastructure_Features,Barriers_to_Construction,Intermodal_Connections,Adaptability_Features,Infrastructure_Integration
29,0.9894012231073894,0.12329848197080322,0.8377735078898216,0.7800663435603661,0.682634889132095
30,0.9819210792799711,0.11728514404689881,0.8421809618081281,0.7909618916568186,0.6830872691979542
31,0.9725004093573342,0.11156508007421491,0.8464438827052101,0.801408509139317,0.6829794703190191
32,0.9611771470522907,0.10612398691337152,0.8505714496710639,0.8114157272671605,0.6823220777259716
33,0.9479968871456679,0.10094825899732769,0.8545719942143055,0.8209938071532861,0.6811277368776467
34,0.9330127018922193,0.09602495431037704,0.858453101505967,0.8301536269515684,0.6794110961650328
35,0.9162849273173856,0.0913417620263673,0.8622216969436123,0.8389065751362301,0.6771887403558988
36,0.897880920265416,0.08688697172522257,0.8658841205181078,0.847264450326142,0.674479115708722
37,0.8778747871771291,0.08264944411079327,0.8694461909890476,0.8552393679584507,0.6713024475588552
38,0.8563470856894313,0.0786185831568138,0.8729132615001876,0.8628436739834244,0.6676806510824642
39,0.8333845002581458,0.07478430961131752,0.8762902679694842,0.8700898656359801,0.6636372358687319
40,0.8090794931103026,0.07113703579325677,0.8795817713517123,0.8769905192389782,0.6591972048735625
41,0.7835299319313854,0.06766764161830635,0.8827919946817768,0.8835582249085085,0.6543869482849942
42,0.7568386957867032,0.06436745179390209,0.8859248556535921,0.8898055279612507,0.649234132798862
43,0.7291132608637052,0.06122821412649095,0.8889839953650248,0.8957448767675606,0.6437675867806953
44,0.7004652677033067,0.05824207888674848,0.89197280375789,0.901388576750056,0.6380171817745003
45,0.6710100716628344,0.055401579181166935,0.8948944421987565,0.906748750194873,0.6320137108094077
46,0.6408662784207149,0.052699612280932166,0.8977518635777091,0.9118373015202048,0.6257887639498902
47,0.6101552663932704,0.05012942186140185,0.9005478302454246,0.9166658876328979,0.6193746015332487
48,0.579000697986675,0.04768458110777481,0.9032849300616924,0.9212458929975655,0.6128040255384269
49,0.5475280216520912,0.045358976644706235,0.9059655907890765,0.9255884090427107,0.6061102495321462
50,0.5158639667490338,0.04314679324968525,0.908592093032361,0.9297042175336268,0.5993267676411766
51,0.48413603325096605,0.0410424993119494,0.9111665818965954,0.9336037775514066,0.5924872230027294
52,0.4524719783479087,0.039040833000576564,0.9136910775130686,0.9372972157302986,0.5856252761479631
53,0.42099930201332497,0.03713678910716694,0.916167484562616,0.9407943194211528,0.5787744737760652
54,0.3898447336067297,0.035325606530214784,0.9185976009087364,0.9441045324660606,0.5719681183779354
55,0.3591337215792851,0.03360275636987488,0.9209831254385386,0.9472369532879517,0.5652391391689126
56,0.32898992833716567,0.031963930603353785,0.9233256651971766,0.9502003350183093,0.5586199647890013
57,0.29953473229669314,0.030405031312608976,0.925626741890816,0.9530030874059245,0.5521423982265107
58,0.27088673913629485,0.028922160437419228,0.9278877978240343,0.955653280269321,0.5458374944167673
59,0.2431613042132968,0.027511610028203605,0.9301102013296746,0.9581586482749092,0.539735440961521
60,0.21647006806861468,0.02616985297421619,0.9322952517423407,0.9605265968418004,0.533865442406743
61,0.19092050688969736,0.024893534183931972,0.9344441839608031,0.9627642089923878,0.528255608506705
62,0.16661549974185424,0.023679462195570454,0.9365581726394229,0.9648782529851281,0.5229328468904939
63,0.14365291431056854,0.0225246011967789,0.9386383360442206,0.9668751905823543,0.5179227605334806
64,0.12212521282287092,0.021426063433520083,0.9406857396052767,0.9687611858213547,0.5132495504207556
65,0.10211907973458395,0.020381101989183106,0.942701399193717,0.9705421141713444,0.5089359237722071
66,0.08371507268261436,0.019387103915861004,0.9446862841485183,0.9722235719722916,0.5050030081798214
67,0.06698729810778059,0.018441583700619997,0.9466413200757057,0.9738108860639036,0.5014702719870026
68,0.05200311285433201,0.017542177050422512,0.9485673914401798,0.9753091235243883,0.49835545121733066
69,0.03882285294770932,0.016686634980163033,0.9504653439683375,0.9767231014489657,0.4956744833362939
70,0.027499590642665828,0.01587281818903397,0.9523359868778252,0.9780573967075319,0.4934414481042642
71,0.018078920720028924,0.01509869171115925,0.9541800949491348,0.9793163556294178,0.4916685157524352
72,0.010598776892610628,0.014362319827119711,0.9559984104523207,0.9805041035708995,0.49036590268573765
73,0.005089279059533658,0.01366186122364628,0.9577916449408246,0.981624554328056,0.4895418348880151
74,0.0015726120240288632,0.012995564389377667,0.9595604809232606,0.9826814193637725,0.48920251917510993
75,6.293616306246586e-05,0.012361763235169694,0.9613055734229893,0.9836782168232336,0.4893521224111138
76,0.0005663304084960186,0.011758872928004553,0.9630275514344003,0.9846182803171695,0.4899927587720176
77,0.0030807677693729385,0.011185385928082795,0.9647270192840026,0.9855047674564714,0.4911244851094825
78,0.007596123493895934,0.010639868219188584,0.966404557903697,0.9863406681256282,0.4927453044356024
79,0.014094215838229174,0.01012095572290219,0.9680607260229401,0.9871288124857966,0.49485117751746704
80,0.022548879277963063,0.00962735088769346,0.9696960612859251,0.9878718787012615,0.4974360425382108
81,0.03292606986744662,0.00915781944436709,0.9713110812993648,0.988572400385576,0.5004918427491887
82,0.04518400232274089,0.008711187319746757,0.9729062846159897,0.9892327737658884,0.5040085620060915
83,0.05927331827620902,0.008286337700880619,0.9744821516584358,0.9898552645658361,0.5079742680503403
84,0.0751372850252428,0.007882208242427243,0.976039145587805,0.9904420146090065,0.5123751633661204
85,0.09271202397483208,0.007497788410238852,0.9775777131208283,0.9909950481463139,0.5171956434130534
86,0.1119267678541217,0.007132116954499628,0.9790982852992375,0.9915162779117823,0.5224183620049103
87,0.13270414567123345,0.006784279506100467,0.9806012782146628,0.9920075109121673,0.528024303576041
88,0.15496049425894398,0.006453406290239931,0.9820870936921028,0.9924704539566118,0.5339928620494746
89,0.1786061951567302,0.006138669951534218,0.9835561199347804,0.9929067189331473,0.540301925994048
90,0.2035460354726799,0.005839283485197721,0.9850087321329692,0.9933178278393315,0.5469279697325446
91,0.22967959127220128,0.005554498269121153,0.9864452930391812,0.9937052175746823,0.5538461500387966
92,0.25690163194976556,0.005283602191926327,0.9878661535119219,0.9940702445028191,0.5610304080391082
93,0.285102543955414,0.005025917872316788,0.9892716530300513,0.9944141887914082,0.5684535759122975
94,0.3141687721698364,0.004780800965271752,0.9906621201796374,0.9947382585380988,0.5760874879632111
95,0.3439832771507565,0.004547638550847908,0.9920378731150489,0.995043593690675,0.5839030956268321
96,0.37442600640946033,0.004325847601560317,0.9933992199959051,0.9953312697696213,0.5918705859441367
97,0.40537437781979513,0.004114873524510012,0.9947464594013851,0.9956023014012387,0.5999595030367322
98,0.4367037732131255,0.003914188774612883,0.9960798807232892,0.9958576456693298,0.6081388720950893
99,0.46828804017171777,0.003723291535462169,0.9973997645391468,0.9960982052933407,0.6163773253849169
100,0.4999999999999999,0.0035417044645260592,0.9987063829665738,0.9963248316406756,0.6246432297679438
